customer_id,age,gender,country,tenure_months,num_orders,avg_order_value,total_spend,days_since_last_order,num_returns,num_complaints,discount_used,newsletter_subscribed,preferred_category,payment_method,device_type,churn
CUST_00001,56,Male,France,51,13,85.56,1112.28,272,0,0,1,0,Fashion,SEPA,Desktop,1
CUST_00002,69,Female,Germany,37,9,37.79,340.11,157,2,3,1,1,Books,Credit Card,Desktop,0
CUST_00003,46,Female,Switzerland,35,10,98.21,982.1,158,5,0,0,0,Sports,Credit Card,Mobile,0
CUST_00004,32,Male,Germany,58,7,359.81,2518.67,313,1,0,0,1,Fashion,PayPal,Mobile,0
CUST_00005,60,Male,France,57,9,87.04,783.36,65,2,1,1,0,Beauty,SEPA,Mobile,0
CUST_00006,25,Female,Germany,9,7,318.72,2231.04,6,1,0,1,1,Books,PayPal,Mobile,0
CUST_00007,38,Female,Netherlands,6,9,436.74,3930.66,77,2,1,0,0,Sports,SEPA,Desktop,0
CUST_00008,56,Female,Netherlands,13,10,36.62,366.2,91,1,0,0,1,Fashion,SEPA,Mobile,0
CUST_00009,36,Female,Netherlands,59,6,32.86,197.16,291,1,2,1,0,Electronics,Credit Card,Mobile,1
CUST_00010,40,Female,Germany,22,6,495.13,2970.78,128,2,3,1,0,Electronics,PayPal,Desktop,0
CUST_00011,28,Female,Germany,28,1,343.17,343.17,117,2,0,1,1,Home & Garden,Klarna,Mobile,0
CUST_00012,28,Female,Germany,30,10,87.53,875.3,225,0,3,1,1,Electronics,Credit Card,Mobile,1
CUST_00013,41,Male,Netherlands,52,5,167.21,836.05,315,0,1,0,1,Electronics,Klarna,Mobile,0
CUST_00014,53,Female,Germany,36,13,492.8,6406.4,14,0,0,1,1,Home & Garden,Credit Card,Mobile,0
CUST_00015,57,Female,France,2,13,129.06,1677.78,174,1,0,1,1,Sports,SEPA,Desktop,0
CUST_00016,41,Male,Austria,58,11,381.36,4194.96,150,1,1,1,1,Books,Klarna,Mobile,0
CUST_00017,20,Female,Austria,36,9,135.77,1221.93,188,2,1,1,1,Fashion,SEPA,Mobile,0
CUST_00018,39,Female,Germany,8,7,211.26,1478.82,85,0,0,0,0,Sports,Credit Card,Desktop,0
CUST_00019,19,Male,France,45,6,442.74,2656.44,120,1,2,1,0,Fashion,Credit Card,Desktop,0
CUST_00020,41,Female,Germany,42,9,33.65,302.85,325,0,1,1,0,Electronics,Credit Card,Tablet,1
CUST_00021,61,Male,Netherlands,50,8,167.47,1339.76,143,0,0,1,0,Beauty,PayPal,Desktop,0
CUST_00022,47,Male,Austria,9,6,253.85,1523.1,306,5,1,1,1,Home & Garden,SEPA,Desktop,1
CUST_00023,55,Male,Germany,1,10,320.24,3202.4,240,1,1,0,1,Books,Klarna,Mobile,0
CUST_00024,19,Male,Germany,13,9,33.56,302.04,212,2,0,1,1,Sports,SEPA,Mobile,0
CUST_00025,38,Female,Austria,50,7,217.12,1519.84,184,5,2,0,1,Fashion,Klarna,Tablet,1
CUST_00026,50,Male,Austria,15,10,185.26,1852.6,191,2,0,1,0,Beauty,SEPA,Desktop,0
CUST_00027,29,Male,Germany,32,8,32.9,263.2,344,4,1,1,1,Fashion,SEPA,Mobile,1
CUST_00028,39,Female,France,34,6,190.58,1143.48,26,2,1,1,1,Home & Garden,Credit Card,Mobile,0
CUST_00029,61,Male,Germany,43,7,467.21,3270.47,361,0,2,0,1,Sports,SEPA,Tablet,0
CUST_00030,42,Male,Germany,31,10,151.82,1518.2,125,1,1,1,0,Books,PayPal,Mobile,0
CUST_00031,66,Male,Switzerland,14,5,301.08,1505.4,242,0,1,0,1,Home & Garden,PayPal,Tablet,1
CUST_00032,44,Male,Austria,54,9,163.09,1467.81,342,3,0,1,1,Books,Credit Card,Desktop,0
CUST_00033,59,Female,Netherlands,47,5,71.2,356.0,283,1,1,1,1,Sports,Credit Card,Tablet,0
CUST_00034,45,Male,Germany,14,8,159.07,1272.56,275,3,0,1,1,Home & Garden,PayPal,Desktop,0
CUST_00035,33,Female,Austria,48,4,245.96,983.84,37,1,0,0,1,Sports,Credit Card,Mobile,0
CUST_00036,32,Female,Germany,55,7,162.18,1135.26,292,2,1,0,1,Electronics,PayPal,Desktop,1
CUST_00037,64,Male,Germany,29,5,319.6,1598.0,221,1,0,0,1,Sports,Klarna,Tablet,0
CUST_00038,68,Male,France,47,16,475.56,7608.96,319,2,2,1,0,Electronics,PayPal,Mobile,0
CUST_00039,61,Male,Germany,19,2,53.25,106.5,295,1,0,1,0,Beauty,SEPA,Mobile,1
CUST_00040,69,Male,Netherlands,27,8,364.16,2913.28,247,1,1,1,0,Sports,Klarna,Mobile,0
CUST_00041,20,Female,France,9,9,20.6,185.4,128,0,1,0,0,Fashion,Credit Card,Mobile,0
CUST_00042,54,Female,Germany,37,11,20.49,225.39,107,1,1,0,1,Sports,Klarna,Mobile,0
CUST_00043,68,Female,Germany,37,8,83.8,670.4,336,1,0,0,1,Sports,SEPA,Desktop,1
CUST_00044,24,Male,Germany,43,6,250.37,1502.22,223,2,2,1,1,Beauty,SEPA,Mobile,0
CUST_00045,38,Female,Germany,28,11,43.04,473.44,335,0,0,1,1,Fashion,Klarna,Desktop,1
CUST_00046,26,Male,France,52,7,366.63,2566.41,161,1,0,0,0,Electronics,SEPA,Mobile,0
CUST_00047,56,Male,Austria,57,10,34.06,340.6,288,3,2,0,1,Books,Credit Card,Tablet,1
CUST_00048,35,Male,Germany,24,10,257.81,2578.1,256,0,0,1,1,Sports,Credit Card,Desktop,0
CUST_00049,21,Male,Germany,28,8,344.53,2756.24,242,1,0,1,1,Sports,Credit Card,Desktop,0
CUST_00050,42,Male,France,36,7,134.02,938.14,120,1,0,1,1,Fashion,Credit Card,Mobile,0
CUST_00051,31,Female,Austria,52,3,298.06,894.18,6,1,0,1,0,Beauty,Klarna,Tablet,0
CUST_00052,67,Female,Germany,18,13,145.66,1893.58,361,3,1,0,0,Fashion,SEPA,Mobile,1
CUST_00053,26,Male,Germany,25,7,122.77,859.39,122,0,0,1,1,Books,Credit Card,Tablet,1
CUST_00054,43,Female,France,35,7,412.83,2889.81,145,3,3,0,0,Fashion,PayPal,Desktop,0
CUST_00055,19,Male,Germany,4,12,179.8,2157.6,258,0,1,1,1,Home & Garden,Credit Card,Mobile,0
CUST_00056,37,Male,Germany,14,5,410.71,2053.55,80,2,0,0,0,Electronics,Klarna,Desktop,0
CUST_00057,45,Male,Netherlands,39,7,124.12,868.84,311,1,0,0,1,Beauty,SEPA,Mobile,0
CUST_00058,64,Female,France,26,7,190.82,1335.74,111,2,0,1,0,Sports,Credit Card,Mobile,0
CUST_00059,24,Male,France,8,6,69.28,415.68,251,1,1,0,1,Beauty,Klarna,Mobile,1
CUST_00060,61,Male,Netherlands,24,9,258.32,2324.88,268,2,1,1,0,Books,Klarna,Desktop,0
CUST_00061,25,Female,Netherlands,16,6,203.17,1219.02,51,0,2,0,1,Books,SEPA,Mobile,0
CUST_00062,64,Female,Germany,20,7,22.86,160.02,48,3,1,0,1,Beauty,PayPal,Desktop,0
CUST_00063,52,Female,Germany,15,11,243.13,2674.43,167,2,1,1,0,Books,SEPA,Desktop,0
CUST_00064,31,Male,Germany,7,10,55.72,557.2,209,1,0,0,1,Fashion,PayPal,Tablet,1
CUST_00065,34,Male,Germany,58,4,421.74,1686.96,105,3,0,0,0,Sports,PayPal,Mobile,0
CUST_00066,53,Female,Netherlands,17,11,256.97,2826.67,70,1,0,0,1,Sports,PayPal,Mobile,0
CUST_00067,67,Male,Austria,22,9,351.22,3160.98,119,0,0,1,0,Home & Garden,Klarna,Mobile,0
CUST_00068,57,Female,Switzerland,22,11,414.15,4555.65,361,3,0,1,1,Sports,PayPal,Desktop,0
CUST_00069,21,Female,France,54,4,44.57,178.28,346,2,1,1,0,Home & Garden,PayPal,Mobile,1
CUST_00070,19,Male,Germany,12,7,181.85,1272.95,1,1,1,0,1,Books,Klarna,Mobile,0
CUST_00071,23,Male,Germany,18,7,32.06,224.42,302,2,1,1,0,Books,Credit Card,Desktop,1
CUST_00072,59,Female,Austria,56,12,43.82,525.84,63,1,3,0,1,Fashion,Credit Card,Mobile,0
CUST_00073,21,Female,France,46,7,38.16,267.12,59,1,1,1,0,Electronics,SEPA,Desktop,0
CUST_00074,46,Female,France,47,14,249.4,3491.6,303,0,0,1,1,Books,SEPA,Desktop,0
CUST_00075,35,Female,Netherlands,15,7,236.33,1654.31,272,2,1,1,0,Beauty,SEPA,Mobile,1
CUST_00076,43,Male,Netherlands,37,3,49.4,148.2,46,4,0,1,0,Beauty,SEPA,Desktop,0
CUST_00077,61,Female,Austria,16,9,145.94,1313.46,80,2,1,0,1,Sports,Credit Card,Tablet,0
CUST_00078,51,Female,Germany,5,13,137.36,1785.68,50,2,1,0,1,Sports,SEPA,Desktop,0
CUST_00079,27,Female,Netherlands,2,6,162.38,974.28,305,1,0,1,1,Beauty,Credit Card,Desktop,1
CUST_00080,53,Male,Austria,52,5,327.57,1637.85,363,1,1,1,0,Electronics,Klarna,Tablet,1
CUST_00081,31,Male,Germany,28,6,354.59,2127.54,276,2,0,1,1,Electronics,SEPA,Desktop,0
CUST_00082,48,Female,France,57,5,182.75,913.75,229,2,0,1,1,Electronics,Credit Card,Desktop,0
CUST_00083,65,Male,Germany,41,5,398.35,1991.75,333,2,1,0,1,Sports,SEPA,Mobile,1
CUST_00084,32,Male,Switzerland,54,6,220.57,1323.42,72,0,1,1,0,Books,SEPA,Mobile,0
CUST_00085,25,Male,Germany,27,15,270.75,4061.25,169,3,0,1,1,Sports,Klarna,Desktop,0
CUST_00086,31,Female,France,31,7,89.86,629.02,267,1,1,0,1,Books,Credit Card,Mobile,1
CUST_00087,40,Female,Germany,41,9,131.79,1186.11,55,4,3,1,0,Electronics,Credit Card,Desktop,0
CUST_00088,57,Male,Netherlands,36,10,369.23,3692.3,230,2,0,0,1,Beauty,Credit Card,Mobile,0
CUST_00089,38,Female,Germany,47,10,488.98,4889.8,47,1,1,1,1,Home & Garden,PayPal,Desktop,0
CUST_00090,33,Female,Germany,43,7,358.23,2507.61,78,2,1,0,0,Beauty,Credit Card,Mobile,0
CUST_00091,62,Male,France,1,9,46.02,414.18,360,1,0,1,1,Books,SEPA,Mobile,1
CUST_00092,35,Male,Switzerland,50,6,88.59,531.54,306,0,0,1,1,Home & Garden,Credit Card,Desktop,1
CUST_00093,64,Female,Germany,29,7,233.97,1637.79,353,2,2,1,1,Books,Credit Card,Mobile,1
CUST_00094,41,Male,Germany,1,9,371.63,3344.67,361,0,0,0,0,Electronics,PayPal,Mobile,0
CUST_00095,43,Female,Netherlands,8,7,99.65,697.55,279,2,1,1,0,Sports,SEPA,Mobile,1
CUST_00096,42,Female,France,57,5,380.39,1901.95,61,2,1,1,1,Electronics,Credit Card,Desktop,0
CUST_00097,62,Male,Switzerland,16,9,286.8,2581.2,7,3,1,1,0,Fashion,SEPA,Mobile,0
CUST_00098,58,Female,Germany,58,5,391.78,1958.9,271,0,1,0,0,Sports,PayPal,Mobile,0
CUST_00099,46,Female,France,28,8,287.67,2301.36,335,1,0,1,1,Home & Garden,SEPA,Mobile,1
CUST_00100,32,Male,Germany,22,5,309.21,1546.05,9,1,2,0,0,Sports,SEPA,Desktop,0
CUST_00101,62,Male,Germany,18,12,139.4,1672.8,213,2,1,1,1,Electronics,SEPA,Mobile,0
CUST_00102,18,Male,Netherlands,22,6,365.69,2194.14,165,1,1,1,1,Home & Garden,Klarna,Mobile,0
